Type	Name	State Code	State Name	ZIP Codes
county	AL	AB	AB	N/A
county	CA	AC	AC	N/A
county	AK	AD	AD	N/A
county	CA	AG	AG	N/A
county	CO	AI	AI	N/A
county	AK	AM	AM	N/A
county	AR	AM	AM	N/A
county	CA	AM	AM	N/A
county	AK	AN	AN	N/A
county	AL	AN	AN	N/A
county	AR	AN	AN	N/A
county	CA	AN	AN	N/A
county	AZ	AP	AP	N/A
county	CA	AP	AP	N/A
county	Province of Brindisi	AP	Apulia	N/A
county	AK	AT	AT	N/A
county	AL	AT	AT	N/A
county	CA	AT	AT	N/A
county	CO	AT	AT	N/A
county	AL	AU	AU	N/A
county	AR	AU	AU	N/A
county	CA	AU	AU	N/A
county	CO	AU	AU	N/A
county	TX	AU	AU	N/A
county	AR	AV	AV	N/A
county	AZ	AV	AV	N/A
county	CA	AV	AV	N/A
county	CO	AV	AV	N/A
county	AK	BA	BA	N/A
county	AL	BA	BA	N/A
county	AR	BA	BA	N/A
county	AZ	BA	BA	N/A
county	CA	BA	BA	N/A
county	LA	BA	BA	N/A
county	AK	BE	BE	N/A
county	AL	BE	BE	N/A
county	AR	BE	BE	N/A
county	AZ	BE	BE	N/A
county	CA	BE	BE	N/A
county	CO	BE	BE	N/A
county	KY	BE	BE	N/A
county	AZ	BI	BI	N/A
county	CA	BI	BI	N/A
county	TX	BI	BI	N/A
county	AL	BL	BL	N/A
county	AR	BL	BL	N/A
county	CA	BL	BL	N/A
county	AL	BO	BO	N/A
county	AR	BO	BO	N/A
county	AZ	BO	BO	N/A
county	CA	BO	BO	N/A
county	CO	BO	BO	N/A
county	LA	BO	BO	N/A
county	AK	BR	BR	N/A
county	AL	BR	BR	N/A
county	AR	BR	BR	N/A
county	CA	BR	BR	N/A
county	CO	BR	BR	N/A
county	AK	BU	BU	N/A
county	AL	BU	BU	N/A
county	AR	BU	BU	N/A
county	AZ	BU	BU	N/A
county	CA	BU	BU	N/A
county	CO	BU	BU	N/A
county	Tübingen	BW	Baden-Württemberg	N/A
county	AZ	BY	BY	N/A
county	Upper Bavaria	BY	Bavaria	N/A
county	AK	CE	CE	N/A
county	AL	CE	CE	N/A
county	AR	CE	CE	N/A
county	AZ	CE	CE	N/A
county	CA	CE	CE	N/A
county	CO	CE	CE	N/A
county	AK	CH	CH	N/A
county	AL	CH	CH	N/A
county	AR	CH	CH	N/A
county	AZ	CH	CH	N/A
county	CA	CH	CH	N/A
county	CO	CH	CH	N/A
county	AK	CI	CI	N/A
county	AZ	CI	CI	N/A
county	CA	CI	CI	N/A
county	AK	CL	CL	N/A
county	AL	CL	CL	N/A
county	AR	CL	CL	N/A
county	AZ	CL	CL	N/A
county	CA	CL	CL	N/A
county	CO	CL	CL	N/A
county	AK	CR	CR	N/A
county	AR	CR	CR	N/A
county	AZ	CR	CR	N/A
county	CA	CR	CR	N/A
county	CO	CR	CR	N/A
county	AL	CU	CU	N/A
county	AR	CU	CU	N/A
county	CA	CU	CU	N/A
county	CA	CY	CY	N/A
county	AL	DA	DA	N/A
county	AR	DA	DA	N/A
county	AZ	DA	DA	N/A
county	CA	DA	DA	N/A
county	CO	DA	DA	N/A
county	AK	DI	DI	N/A
county	AL	DI	DI	N/A
county	AR	DI	DI	N/A
county	CA	DI	DI	N/A
county	CO	DI	DI	N/A
county	MN	DL	DL	N/A
county	AL	DO	DO	N/A
county	AR	DO	DO	N/A
county	AZ	DO	DO	N/A
county	CA	DO	DO	N/A
county	AR	DR	DR	N/A
county	AZ	DR	DR	N/A
county	CO	DR	DR	N/A
county	AZ	DU	DU	N/A
county	CA	DU	DU	N/A
county	CO	DU	DU	N/A
county	AR	DY	DY	N/A
county	CA	E 	E 	N/A
county	AZ	EA	EA	N/A
county	CA	EA	EA	N/A
county	CO	EA	EA	N/A
county	AL	EC	EC	N/A
county	CO	EC	EC	N/A
county	AR	ED	ED	N/A
county	AZ	ED	ED	N/A
county	CA	ED	ED	N/A
county	AK	EE	EE	N/A
county	AK	EG	EG	N/A
county	AR	EG	EG	N/A
