ZIP Code	County Name	State Code	State Name	County FIPS	Created At
36310	AL	AB	AB	Henry	2025-12-11T16:48:00.368Z
93510	CA	AC	AC	Los A	2025-12-11T16:48:00.816Z
99546	AK	AD	AD	Aleut	2025-12-11T16:48:00.941Z
99571	AK	AD	AD	Aleut	2025-12-11T16:48:00.941Z
91376	CA	AG	AG	Los A	2025-12-11T16:48:00.686Z
80840	CO	AI	AI	El Pa	2025-12-11T16:48:00.531Z
80841	CO	AI	AI	El Pa	2025-12-11T16:48:00.531Z
99551	AK	AK	AK	Bethe	2025-12-11T16:48:00.941Z
99552	AK	AK	AK	Bethe	2025-12-11T16:48:00.941Z
99553	AK	AK	AK	Aleut	2025-12-11T16:48:00.941Z
99553	Aleutians East Borough	AK	Alaska		2025-12-11T15:49:56.959Z
99571	Aleutians East Borough	AK	Alaska		2025-12-11T15:49:56.959Z
99583	Aleutians East Borough	AK	Alaska		2025-12-11T15:49:56.959Z
99612	Aleutians East Borough	AK	Alaska		2025-12-11T15:49:56.959Z
99661	Aleutians East Borough	AK	Alaska		2025-12-11T15:49:56.959Z
99546	Aleutians West Census Area	AK	Alaska		2025-12-11T15:49:56.959Z
99547	Aleutians West Census Area	AK	Alaska		2025-12-11T15:49:56.959Z
99591	Aleutians West Census Area	AK	Alaska		2025-12-11T15:49:56.959Z
99638	Aleutians West Census Area	AK	Alaska		2025-12-11T15:49:56.959Z
99660	Aleutians West Census Area	AK	Alaska		2025-12-11T15:49:56.959Z
99685	Aleutians West Census Area	AK	Alaska		2025-12-11T15:49:56.959Z
99692	Aleutians West Census Area	AK	Alaska		2025-12-11T15:49:56.959Z
99567	Anchorage	AK	Alaska		2025-12-11T16:15:42.126Z
99501	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99502	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99503	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99504	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99505	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99506	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99507	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99508	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99509	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99510	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99511	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99513	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99514	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99515	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99516	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
99517	Anchorage Municipality	AK	Alaska		2025-12-11T15:49:56.959Z
