ZIP Code	County Name	State Code	State Name	FMR Source	Has SAFMR Data But Uses FMR
99501	Anchorage Municipality	AK	Alaska	NONE	Yes
99502	Anchorage Municipality	AK	Alaska	NONE	Yes
99503	Anchorage Municipality	AK	Alaska	NONE	Yes
99504	Anchorage Municipality	AK	Alaska	NONE	Yes
99505	Anchorage Municipality	AK	Alaska	NONE	Yes
99506	Anchorage Municipality	AK	Alaska	NONE	Yes
99507	Anchorage Municipality	AK	Alaska	NONE	Yes
99508	Anchorage Municipality	AK	Alaska	NONE	Yes
99509	Anchorage Municipality	AK	Alaska	NONE	Yes
99510	Anchorage Municipality	AK	Alaska	NONE	Yes
99511	Anchorage Municipality	AK	Alaska	NONE	Yes
99513	Anchorage Municipality	AK	Alaska	NONE	Yes
99514	Anchorage Municipality	AK	Alaska	NONE	Yes
99515	Anchorage Municipality	AK	Alaska	NONE	Yes
99516	Anchorage Municipality	AK	Alaska	NONE	Yes
99517	Anchorage Municipality	AK	Alaska	NONE	Yes
99518	Anchorage Municipality	AK	Alaska	NONE	Yes
99519	North Slope Borough	AK	Alaska	NONE	Yes
99520	Anchorage Municipality	AK	Alaska	NONE	Yes
99521	Anchorage Municipality	AK	Alaska	NONE	Yes
99522	Anchorage Municipality	AK	Alaska	NONE	Yes
99523	Anchorage Municipality	AK	Alaska	NONE	Yes
99524	Anchorage Municipality	AK	Alaska	NONE	Yes
99530	Anchorage Municipality	AK	Alaska	NONE	Yes
99540	Anchorage Municipality	AK	Alaska	NONE	Yes
99545	Bethel Census Area	AK	Alaska	NONE	Yes
99546	Aleutians West Census Area	AK	Alaska	NONE	Yes
99547	Aleutians West Census Area	AK	Alaska	NONE	Yes
99548	Lake and Peninsula Borough	AK	Alaska	NONE	Yes
99549	Lake and Peninsula Borough	AK	Alaska	NONE	Yes
99550	Kodiak Island Borough	AK	Alaska	NONE	Yes
99551	Bethel Census Area	AK	Alaska	NONE	Yes
99552	Bethel Census Area	AK	Alaska	NONE	Yes
99553	Aleutians East Borough	AK	Alaska	NONE	Yes
99554	Kusilvak Census Area	AK	Alaska	NONE	Yes
99555	Dillingham Census Area	AK	Alaska	NONE	Yes
99556	Kenai Peninsula Borough	AK	Alaska	NONE	Yes
99557	Bethel Census Area	AK	Alaska	NONE	Yes
99558	Yukon-Koyukuk Census Area	AK	Alaska	NONE	Yes
99559	Bethel Census Area	AK	Alaska	NONE	Yes
99561	Bethel Census Area	AK	Alaska	NONE	Yes
99563	Kusilvak Census Area	AK	Alaska	NONE	Yes
99564	Lake and Peninsula Borough	AK	Alaska	NONE	Yes
99565	Lake and Peninsula Borough	AK	Alaska	NONE	Yes
99566	Copper River Census Area	AK	Alaska	NONE	Yes
99567	Anchorage	AK	Alaska	NONE	Yes
99568	Kenai Peninsula Borough	AK	Alaska	NONE	Yes
99569	Dillingham Census Area	AK	Alaska	NONE	Yes
99571	Aleutians East Borough	AK	Alaska	NONE	Yes
99572	Kenai Peninsula Borough	AK	Alaska	NONE	Yes
99573	Copper River Census Area	AK	Alaska	NONE	Yes
99574	Chugach Census Area	AK	Alaska	NONE	Yes
99575	Bethel Census Area	AK	Alaska	NONE	Yes
99576	Dillingham Census Area	AK	Alaska	NONE	Yes
99577	Anchorage Municipality	AK	Alaska	NONE	Yes
99578	Bethel Census Area	AK	Alaska	NONE	Yes
99579	Lake and Peninsula Borough	AK	Alaska	NONE	Yes
99580	Dillingham Census Area	AK	Alaska	NONE	Yes
99581	Kusilvak Census Area	AK	Alaska	NONE	Yes
